"periode_update";"avlos"
"Januari 2023";"3.4"
"Februari 2023";"3"
"Maret 2023";"3.6"
"April 2023";"3"
"Mei 2023";"3.4"
"Juni 2023";"3.3"
"Juli 2023";"3.7"
"Januari 2022";"3.5"
"Februari 2022";"3.1"
"Maret 2022";"3.5"
"April 2022";"3.5"
"Mei 2022";"3.5"
"Juni 2022";"3.3"
"Juli 2022";"3.4"
"Agustus 2022";"3.3"
"September 2022";"3.2"
"Oktober 2022";"3.5"
"November 2022";"3.3"
"Desember 2022";"3.4"
"Januari 2021";"4.9"
"Februari 2021";"5.1"
"Maret 2021";"4.2"
"April 2021";"4"
"Mei 2021";"4.3"
"Juni 2021";"4.5"
"Juli 2021";"4.3"
"Agustus 2021";"4.2"
"September 2021";"3.6"
"Oktober 2021";"3.7"
"November 2021";"3.6"
"Desember 2021";"3.6"
"Agustus 2023";"3.4"
"September 2023";"3.3"
"Oktober 2023";"3.8"
"November 2023";"3.5"
