"klinik";"laki_laki";"perempuan";"periode_update"
"GIZI";"25";"31";"Januari 2018"
"Eksekutif Bedah Umum";"58";"69";"Januari 2018"
"Eksekutif Gigi dan Mulut";"8";"16";"Januari 2018"
"PALIATIF NYERI";"1";"0";"Januari 2018"
"THT-KL";"183";"211";"Januari 2018"
"ASIH";"13";"117";"Januari 2018"
"Eksekutif Endoskopi";"9";"14";"Januari 2018"
"BEDAH ORTHOPEDI";"279";"336";"Januari 2018"
"ANAK";"113";"97";"Januari 2018"
"Eksekutif Rehab Medik";"39";"53";"Januari 2018"
"Eksekutif Bedah Saraf";"28";"21";"Januari 2018"
"Eksekutif Mata";"38";"56";"Januari 2018"
"MATA";"320";"483";"Januari 2018"
"Eksekutif Kebidanan/Kandungan";"0";"101";"Januari 2018"
"GIGI & MULUT";"88";"133";"Januari 2018"
"Eksekutif Anak";"13";"17";"Januari 2018"
"Eksekutif Interne/Penyakit Dalam";"97";"147";"Januari 2018"
"BEDAH UROLOGI";"289";"114";"Januari 2018"
"KULIT & KELAMIN";"117";"144";"Januari 2018"
"PSIKIATRI/JIWA";"36";"74";"Januari 2018"
"BEDAH SYARAF";"82";"87";"Januari 2018"
"Eksekutif Saraf";"51";"57";"Januari 2018"
"REHAB MEDIK";"193";"279";"Januari 2018"
"POLI SPESIALIS";"1";"0";"Januari 2018"
"BEDAH UMUM";"176";"234";"Januari 2018"
"KEBIDANAN/KANDUNGAN";"3";"170";"Januari 2018"
"Eksekutif Bedah Orthopedi";"71";"81";"Januari 2018"
"KELUARGA BERENCANA";"0";"35";"Januari 2018"
"JANTUNG";"966";"1301";"Januari 2018"
"Eksekutif Psikiatri / Jiwa";"4";"10";"Januari 2018"
"GENERAL CHECKUP";"57";"75";"Januari 2018"
"SYARAF";"501";"621";"Januari 2018"
"PARU";"182";"196";"Januari 2018"
"Eksekutif THT";"18";"18";"Januari 2018"
"Eksekutif Kulit dan Kelamin";"15";"43";"Januari 2018"
"Eksekutif Bedah Urologi";"42";"15";"Januari 2018"
"INTERNE/PENY. DALAM";"979";"1407";"Januari 2018"
"Eksekutif Paru";"10";"13";"Januari 2018"
"Eksekutif Jantung";"77";"103";"Januari 2018"
"ANASTESI";"1";"4";"Januari 2018"
"Eksekutif Paliatif Nyeri";"11";"18";"Januari 2018"
"GIZI";"22";"48";"Februari 2018"
"Eksekutif Bedah Umum";"52";"69";"Februari 2018"
"Eksekutif Gigi dan Mulut";"8";"10";"Februari 2018"
"THT-KL";"160";"188";"Februari 2018"
"ASIH";"9";"102";"Februari 2018"
"Eksekutif Endoskopi";"13";"7";"Februari 2018"
"ANAK";"122";"84";"Februari 2018"
"BEDAH ORTHOPEDI";"254";"318";"Februari 2018"
"Eksekutif Rehab Medik";"29";"53";"Februari 2018"
"Eksekutif Bedah Saraf";"21";"27";"Februari 2018"
"Eksekutif Mata";"27";"47";"Februari 2018"
"MATA";"309";"483";"Februari 2018"
"Eksekutif Kebidanan/Kandungan";"0";"69";"Februari 2018"
"GIGI & MULUT";"82";"120";"Februari 2018"
"Eksekutif Anak";"16";"15";"Februari 2018"
"BEDAH UROLOGI";"288";"101";"Februari 2018"
"Eksekutif Interne/Penyakit Dalam";"100";"137";"Februari 2018"
"KULIT & KELAMIN";"119";"162";"Februari 2018"
"Eksekutif Saraf";"54";"48";"Februari 2018"
"BEDAH SYARAF";"61";"77";"Februari 2018"
"REHAB MEDIK";"196";"267";"Februari 2018"
"PSIKIATRI/JIWA";"40";"72";"Februari 2018"
"POLI SPESIALIS";"1";"1";"Februari 2018"
"BEDAH UMUM";"169";"213";"Februari 2018"
"KEBIDANAN/KANDUNGAN";"7";"142";"Februari 2018"
"Eksekutif Bedah Orthopedi";"57";"79";"Februari 2018"
"KELUARGA BERENCANA";"1";"34";"Februari 2018"
"JANTUNG";"893";"1154";"Februari 2018"
"Eksekutif Psikiatri / Jiwa";"3";"7";"Februari 2018"
"GENERAL CHECKUP";"40";"108";"Februari 2018"
"SYARAF";"474";"589";"Februari 2018"
"PARU";"161";"177";"Februari 2018"
"Eksekutif THT";"24";"23";"Februari 2018"
"Eksekutif Bedah Urologi";"30";"12";"Februari 2018"
"Eksekutif Kulit dan Kelamin";"22";"47";"Februari 2018"
"INTERNE/PENY. DALAM";"880";"1315";"Februari 2018"
"Eksekutif Jantung";"74";"89";"Februari 2018"
"Eksekutif Paru";"11";"10";"Februari 2018"
"ANASTESI";"0";"5";"Februari 2018"
"Eksekutif Paliatif Nyeri";"7";"26";"Februari 2018"
"GIZI";"38";"30";"Maret 2018"
"Eksekutif Bedah Umum";"43";"51";"Maret 2018"
"Eksekutif Gigi dan Mulut";"10";"17";"Maret 2018"
"Eksekutif Paliatif Nyeri";"13";"22";"Maret 2018"
"THT-KL";"154";"183";"Maret 2018"
"VCT";"1";"0";"Maret 2018"
"ASIH";"11";"121";"Maret 2018"
"Eksekutif Endoskopi";"6";"8";"Maret 2018"
"BEDAH ORTHOPEDI";"269";"332";"Maret 2018"
"ANAK";"101";"102";"Maret 2018"
"Eksekutif Rehab Medik";"29";"39";"Maret 2018"
"Eksekutif Mata";"29";"55";"Maret 2018"
"Eksekutif Bedah Saraf";"29";"28";"Maret 2018"
"MATA";"307";"488";"Maret 2018"
"Eksekutif Kebidanan/Kandungan";"0";"65";"Maret 2018"
"GIGI & MULUT";"82";"127";"Maret 2018"
"Eksekutif Anak";"8";"8";"Maret 2018"
"BEDAH UROLOGI";"274";"110";"Maret 2018"
"Eksekutif Interne/Penyakit Dalam";"87";"153";"Maret 2018"
"KULIT & KELAMIN";"100";"154";"Maret 2018"
"BEDAH SYARAF";"62";"76";"Maret 2018"
"Eksekutif Saraf";"40";"53";"Maret 2018"
"REHAB MEDIK";"204";"298";"Maret 2018"
"PSIKIATRI/JIWA";"42";"83";"Maret 2018"
"BEDAH UMUM";"128";"200";"Maret 2018"
"KEBIDANAN/KANDUNGAN";"5";"170";"Maret 2018"
"Eksekutif Bedah Orthopedi";"68";"89";"Maret 2018"
"KELUARGA BERENCANA";"0";"32";"Maret 2018"
"JANTUNG";"916";"1253";"Maret 2018"
"Eksekutif Psikiatri / Jiwa";"4";"10";"Maret 2018"
"GENERAL CHECKUP";"80";"48";"Maret 2018"
"SYARAF";"466";"601";"Maret 2018"
"PARU";"191";"189";"Maret 2018"
"Eksekutif THT";"13";"10";"Maret 2018"
"Eksekutif Kulit dan Kelamin";"16";"30";"Maret 2018"
"Eksekutif Bedah Urologi";"35";"13";"Maret 2018"
"INTERNE/PENY. DALAM";"955";"1343";"Maret 2018"
"Eksekutif Jantung";"66";"80";"Maret 2018"
"Eksekutif Paru";"9";"9";"Maret 2018"
"ANASTESI";"0";"6";"Maret 2018"
"GIZI";"18";"20";"April 2018"
"Eksekutif Bedah Umum";"41";"72";"April 2018"
"Eksekutif Gigi dan Mulut";"6";"18";"April 2018"
"THT-KL";"191";"186";"April 2018"
"VCT";"0";"2";"April 2018"
"ASIH";"7";"116";"April 2018"
"Eksekutif Endoskopi";"3";"8";"April 2018"
"BEDAH ORTHOPEDI";"260";"351";"April 2018"
"ANAK";"106";"82";"April 2018"
"Eksekutif Rehab Medik";"31";"41";"April 2018"
"Eksekutif Bedah Saraf";"32";"36";"April 2018"
"Eksekutif Mata";"25";"62";"April 2018"
"MATA";"325";"482";"April 2018"
"Eksekutif Kebidanan/Kandungan";"0";"65";"April 2018"
"GIGI & MULUT";"86";"122";"April 2018"
"Eksekutif Anak";"17";"11";"April 2018"
"BEDAH UROLOGI";"274";"98";"April 2018"
"Eksekutif Interne/Penyakit Dalam";"92";"138";"April 2018"
"KULIT & KELAMIN";"122";"138";"April 2018"
"BEDAH SYARAF";"64";"82";"April 2018"
"REHAB MEDIK";"202";"277";"April 2018"
"Eksekutif Saraf";"56";"55";"April 2018"
"PSIKIATRI/JIWA";"42";"94";"April 2018"
"POLI SPESIALIS";"1";"1";"April 2018"
"BEDAH UMUM";"157";"229";"April 2018"
"KEBIDANAN/KANDUNGAN";"3";"149";"April 2018"
"Eksekutif Bedah Orthopedi";"74";"93";"April 2018"
"KELUARGA BERENCANA";"1";"33";"April 2018"
"JANTUNG";"913";"1197";"April 2018"
"Eksekutif Psikiatri / Jiwa";"5";"12";"April 2018"
"GENERAL CHECKUP";"153";"125";"April 2018"
"SYARAF";"485";"594";"April 2018"
"PARU";"178";"204";"April 2018"
"Eksekutif THT";"15";"16";"April 2018"
"Eksekutif Bedah Urologi";"25";"19";"April 2018"
"Eksekutif Kulit dan Kelamin";"14";"43";"April 2018"
"INTERNE/PENY. DALAM";"956";"1327";"April 2018"
"Eksekutif Jantung";"63";"83";"April 2018"
"Eksekutif Paru";"9";"15";"April 2018"
"ANASTESI";"2";"4";"April 2018"
"Eksekutif Paliatif Nyeri";"6";"14";"April 2018"
"GIZI";"18";"27";"Mei 2018"
"Eksekutif Bedah Umum";"63";"52";"Mei 2018"
"Eksekutif Gigi dan Mulut";"11";"14";"Mei 2018"
"PALIATIF NYERI";"0";"1";"Mei 2018"
"THT-KL";"149";"172";"Mei 2018"
"ASIH";"12";"136";"Mei 2018"
"Eksekutif Endoskopi";"11";"11";"Mei 2018"
"BEDAH ORTHOPEDI";"270";"343";"Mei 2018"
"ANAK";"109";"81";"Mei 2018"
"Eksekutif Bedah Saraf";"35";"29";"Mei 2018"
"Eksekutif Mata";"30";"66";"Mei 2018"
"Eksekutif Rehab Medik";"27";"43";"Mei 2018"
"MATA";"316";"463";"Mei 2018"
"Eksekutif Kebidanan/Kandungan";"1";"60";"Mei 2018"
"GIGI & MULUT";"90";"143";"Mei 2018"
"Eksekutif Anak";"13";"9";"Mei 2018"
"BEDAH UROLOGI";"295";"107";"Mei 2018"
"Eksekutif Interne/Penyakit Dalam";"88";"120";"Mei 2018"
"KULIT & KELAMIN";"112";"113";"Mei 2018"
"BEDAH SYARAF";"65";"99";"Mei 2018"
"Eksekutif Saraf";"55";"52";"Mei 2018"
"REHAB MEDIK";"211";"274";"Mei 2018"
"PSIKIATRI/JIWA";"46";"77";"Mei 2018"
"POLI SPESIALIS";"0";"2";"Mei 2018"
"KEBIDANAN/KANDUNGAN";"4";"139";"Mei 2018"
"BEDAH UMUM";"153";"198";"Mei 2018"
"Eksekutif Bedah Orthopedi";"81";"87";"Mei 2018"
"KELUARGA BERENCANA";"2";"32";"Mei 2018"
"JANTUNG";"876";"1207";"Mei 2018"
"Eksekutif Psikiatri / Jiwa";"5";"15";"Mei 2018"
"GENERAL CHECKUP";"70";"68";"Mei 2018"
"SYARAF";"466";"526";"Mei 2018"
"PARU";"173";"197";"Mei 2018"
"Eksekutif THT";"16";"14";"Mei 2018"
"Eksekutif Kulit dan Kelamin";"26";"38";"Mei 2018"
"Eksekutif Bedah Urologi";"36";"24";"Mei 2018"
"INTERNE/PENY. DALAM";"953";"1355";"Mei 2018"
"Eksekutif Jantung";"71";"94";"Mei 2018"
"Eksekutif Paru";"14";"10";"Mei 2018"
"ANASTESI";"4";"2";"Mei 2018"
"Eksekutif Paliatif Nyeri";"18";"20";"Mei 2018"
"GIZI";"7";"5";"Juni 2018"
"Eksekutif Gigi dan Mulut";"5";"9";"Juni 2018"
"Eksekutif Bedah Umum";"53";"43";"Juni 2018"
"Eksekutif Paliatif Nyeri";"3";"3";"Juni 2018"
"THT-KL";"95";"133";"Juni 2018"
"ASIH";"3";"91";"Juni 2018"
"Eksekutif Endoskopi";"2";"1";"Juni 2018"
"BEDAH ORTHOPEDI";"211";"241";"Juni 2018"
"ANAK";"71";"59";"Juni 2018"
"Eksekutif Rehab Medik";"27";"31";"Juni 2018"
"Eksekutif Bedah Saraf";"24";"22";"Juni 2018"
"Eksekutif Mata";"27";"31";"Juni 2018"
"MATA";"215";"310";"Juni 2018"
"Eksekutif Kebidanan/Kandungan";"0";"51";"Juni 2018"
"GIGI & MULUT";"52";"85";"Juni 2018"
